Low,High,Last,Weight Avg
93.32,127.00,100.51,111.34
0.00,0.00,0.00,0.00
85.01,139.19,96.61,117.59
79.61,128.27,111.30,110.46
99.78,99.78,99.78,99.78
91.31,126.70,101.20,108.72
86.35,124.72,111.94,106.19
98.53,123.93,110.01,110.26
103.39,103.39,103.39,103.39
88.50,150.00,142.02,109.40
96.65,154.40,154.40,110.23
117.25,117.25,117.25,117.25
96.90,141.19,124.10,111.09
85.52,142.02,136.50,113.37
104.50,144.05,137.39,115.30
0.00,0.00,0.00,0.00
100.77,158.02,150.00,116.26
95.72,169.81,146.89,116.90
136.47,136.47,136.47,136.47
102.96,201.41,179.80,123.21
102.99,172.90,156.10,125.06
-78.67,144.89,110.00,119.55
113.75,129.69,129.69,125.71
106.00,155.66,110.48,122.80
100.20,145.40,106.10,120.82
107.49,133.45,110.00,126.90
79.80,140.79,98.00,118.39
84.67,137.35,91.77,115.11
77.33,131.18,101.00,117.13
0.00,0.00,0.00,0.00
81.54,141.96,110.21,115.43
69.98,131.06,96.00,114.69
121.23,121.23,121.23,121.23
83.99,132.96,114.90,113.77
83.69,149.91,134.90,113.63
106.11,133.88,132.99,119.42
0.00,0.00,0.00,0.00
98.19,155.91,155.91,114.70
98.50,167.80,165.12,118.43
130.00,139.75,139.75,132.70
105.73,175.80,133.00,126.22
66.83,172.90,141.80,134.51
136.65,184.18,175.10,151.85
144.49,158.22,155.45,150.19
63.92,176.31,157.80,128.10
123.47,189.39,165.04,155.52
152.50,175.49,175.49,163.78
133.05,190.38,157.70,164.75
131.13,211.09,138.13,178.01
138.00,363.49,147.00,173.33
161.50,191.04,191.04,164.58
97.93,178.95,139.89,158.68
135.20,203.12,140.00,171.11
169.50,177.27,169.50,172.09
146.19,199.51,195.83,177.90
141.01,207.07,203.01,187.72
167.20,397.28,185.00,180.05
178.01,189.73,178.01,182.90
144.01,297.46,190.32,187.21
148.03,239.57,239.57,186.71
167.76,170.12,167.76,167.87
124.03,304.58,261.32,184.78
143.75,298.99,224.80,177.44
149.06,200.00,149.06,174.46
158.65,158.65,158.65,158.65
123.70,236.69,152.20,189.71
99.00,208.70,112.88,170.38
140.78,158.25,140.78,142.18
105.40,195.13,115.61,158.93
112.69,201.39,160.04,152.39
96.51,169.32,129.99,155.33
153.52,170.50,153.52,159.36
94.20,187.80,125.00,162.82
100.20,172.50,127.25,154.05
121.51,156.49,136.50,135.36
73.77,165.50,96.00,138.78
92.90,156.90,100.00,131.60
98.18,160.00,110.00,135.69
0.00,0.00,0.00,0.00
76.90,169.87,104.90,141.01
104.51,163.95,130.00,133.02
107.02,133.46,107.02,125.11
-5.90,157.19,100.00,124.67
86.28,146.40,103.00,116.83
95.76,143.39,106.96,123.19
111.26,111.26,111.26,111.26
71.00,151.20,97.90,123.43
62.01,145.56,119.95,119.37
0.00,0.00,0.00,0.00
64.32,140.60,111.94,116.45
73.71,143.80,137.00,115.16
99.96,131.50,125.00,115.61
0.00,0.00,0.00,0.00
97.57,165.60,129.06,114.87
96.48,137.56,124.10,114.82
0.00,0.00,0.00,0.00
97.03,142.70,130.00,116.00
101.22,152.91,118.00,115.97
105.66,283.84,115.71,126.39
120.25,129.53,120.25,123.34
109.66,160.00,120.00,121.06
102.35,145.29,125.10,122.38
125.50,135.00,132.00,131.96
93.09,161.90,93.20,123.66
96.89,145.80,100.60,128.13
98.21,138.37,104.90,126.36
120.96,131.99,131.99,123.88
66.71,136.93,96.52,116.29
92.00,137.05,102.51,118.07
130.00,137.48,131.49,135.17
78.15,140.00,104.00,123.22
95.23,142.24,107.60,124.89
103.01,142.00,103.32,128.53
129.75,129.75,129.75,129.75
90.90,135.38,102.01,118.56
89.10,139.20,94.00,118.85
0.00,0.00,0.00,0.00
95.00,139.47,118.89,121.73
88.63,149.50,104.20,130.76
104.00,146.09,108.00,131.29
105.42,135.51,105.42,122.61
72.60,138.89,94.50,115.89
101.91,146.70,114.60,126.47
135.81,135.81,135.81,135.81
105.20,158.87,116.10,131.98
98.63,196.79,113.50,131.61
91.38,151.01,114.00,130.99
115.01,115.01,115.01,115.01
86.14,160.95,103.00,126.58
101.20,301.80,139.16,127.50
118.25,131.24,131.24,127.53
100.00,174.00,155.00,130.97
103.23,190.98,174.90,133.77
111.10,141.64,125.00,127.25
118.10,139.32,139.32,126.48
108.13,166.82,138.30,134.43
104.00,148.75,117.01,125.80
111.49,126.00,111.49,121.27
83.60,138.45,99.90,117.64
90.00,132.30,102.20,115.90
109.21,146.26,120.10,117.69
119.25,119.25,119.25,119.25
95.00,136.72,123.42,125.59
107.10,130.83,115.51,118.83
0.00,0.00,0.00,0.00
105.88,166.05,116.90,114.00
102.85,171.47,121.03,110.98
109.50,124.40,123.40,114.32
0.00,0.00,0.00,0.00
106.03,141.95,131.88,122.27
109.36,129.40,127.93,116.64
0.00,0.00,0.00,0.00
106.84,123.00,120.72,113.06
100.05,141.95,109.80,107.24
105.28,117.89,111.80,110.83
0.00,0.00,0.00,0.00
110.30,126.20,126.20,119.05
102.63,119.38,110.79,110.93
103.63,103.63,103.63,103.63
104.21,122.35,111.00,108.95
62.27,168.01,127.34,106.40
51.20,135.50,124.70,103.74
103.01,103.01,103.01,103.01
92.06,199.79,135.90,114.35
91.10,139.73,120.00,110.78
94.01,97.98,96.75,95.76
65.11,133.59,121.65,108.86
91.48,128.86,97.54,104.47
