Low,High,Last,Weight Avg
104.69,123.46,107.20,112.74
113.25,119.59,119.59,116.35
105.45,130.70,108.00,115.05
88.94,130.00,116.49,112.23
116.98,116.98,116.98,116.98
100.21,135.00,127.37,113.05
92.16,144.49,137.00,113.55
104.64,129.11,110.00,112.47
104.67,104.67,104.67,104.67
79.12,129.29,125.20,113.06
105.37,142.48,113.00,113.24
115.24,118.49,118.49,116.32
99.76,140.59,113.91,111.36
102.00,134.33,121.40,112.04
107.40,226.50,131.65,112.77
108.25,121.75,121.75,112.29
103.05,159.09,133.82,115.68
94.66,133.63,96.93,113.09
107.00,115.99,107.00,114.56
83.94,126.16,105.14,113.00
97.54,118.80,104.50,111.40
102.19,120.02,110.00,111.77
0.00,0.00,0.00,0.00
94.70,143.62,119.23,112.14
100.22,175.20,112.59,112.07
113.47,116.50,114.50,115.35
97.63,124.38,114.99,111.56
90.00,121.98,97.54,110.32
96.81,115.80,101.00,111.36
0.00,0.00,0.00,0.00
75.60,117.42,97.22,109.34
76.51,115.99,88.85,107.59
107.01,111.39,107.01,109.20
85.73,139.99,108.58,107.80
94.25,169.40,122.65,109.54
79.49,120.29,93.65,111.77
0.00,0.00,0.00,0.00
78.26,121.30,100.30,105.65
64.07,123.38,90.56,106.64
111.50,124.75,115.99,124.00
77.22,125.93,95.90,112.87
89.88,126.94,104.53,113.41
110.03,142.49,113.63,128.38
121.50,124.49,121.50,122.61
79.77,149.65,121.59,111.72
39.00,141.00,75.00,113.61
141.49,141.49,141.49,141.49
89.50,152.32,117.00,127.46
120.00,198.86,167.20,148.26
122.19,170.20,145.00,146.88
147.76,147.76,147.76,147.76
92.19,156.90,131.11,124.55
95.48,168.86,139.51,141.27
163.00,178.25,163.25,170.98
126.98,221.34,160.00,153.20
139.27,217.52,164.50,161.23
111.25,212.60,148.01,172.33
163.75,164.47,164.47,164.38
135.54,196.69,150.01,163.15
128.80,213.20,143.65,168.74
156.25,205.00,156.25,176.08
128.60,210.73,146.50,168.85
133.11,215.39,154.50,170.25
142.89,211.22,157.00,174.39
159.26,216.50,164.49,186.47
130.02,226.12,148.34,172.10
133.79,219.55,161.83,169.80
159.22,193.50,165.99,180.05
137.00,208.68,145.22,169.24
102.27,198.26,107.30,163.42
140.00,188.00,145.41,161.24
161.75,194.00,161.75,177.10
121.90,205.70,146.92,169.08
106.19,193.70,126.70,161.93
145.52,180.50,151.00,160.20
96.20,189.45,113.00,152.47
80.01,181.00,122.20,141.28
114.00,180.60,132.08,144.28
139.51,181.49,139.51,153.16
115.93,187.22,145.50,150.71
99.48,181.00,139.19,140.87
115.27,170.25,115.27,122.79
116.23,182.28,145.00,139.35
105.59,179.50,140.00,135.77
116.96,174.96,157.89,133.68
130.99,131.00,130.99,131.00
110.00,198.97,175.00,139.60
117.97,393.99,230.10,146.33
118.07,164.75,144.67,137.46
115.07,208.63,182.10,144.08
109.41,207.75,190.00,137.26
112.16,195.35,175.00,131.56
146.45,173.74,173.74,153.27
115.73,265.36,214.65,148.69
114.40,250.30,225.00,145.51
134.22,140.51,140.51,134.37
61.57,250.00,155.00,143.41
108.96,249.99,196.00,144.82
114.50,185.00,170.10,138.17
130.03,140.75,132.74,138.12
65.40,239.20,189.60,141.18
111.47,196.70,188.50,147.87
131.74,131.74,131.74,131.74
60.30,208.42,208.42,150.73
120.60,235.00,210.00,150.84
119.00,180.99,164.00,145.30
143.24,161.53,161.53,145.34
113.50,192.61,170.00,148.72
113.19,200.00,185.02,150.90
149.23,173.00,173.00,162.77
110.07,197.12,174.12,154.00
115.30,235.31,174.67,156.06
126.68,171.00,159.60,152.79
0.00,0.00,0.00,0.00
119.30,250.00,167.90,151.40
112.34,207.43,186.80,154.51
0.00,0.00,0.00,0.00
110.00,194.13,128.83,151.75
130.74,800.00,161.46,160.78
141.31,172.97,158.00,162.04
172.47,172.47,172.47,172.47
128.60,250.00,155.00,157.81
131.61,250.00,145.00,159.28
163.90,166.49,163.90,164.42
135.23,224.14,159.70,165.00
143.83,217.60,172.79,165.44
151.00,189.86,171.95,166.84
167.75,167.75,167.75,167.75
141.43,250.00,168.90,169.65
146.51,250.00,170.00,166.79
0.00,0.00,0.00,0.00
131.58,220.00,150.31,165.64
131.94,199.70,152.90,164.77
-59.30,167.48,154.99,156.47
163.43,164.94,164.94,163.68
146.22,219.00,155.00,165.27
122.31,173.80,145.00,159.07
137.01,151.01,137.01,149.73
130.00,169.09,151.76,150.48
119.36,162.98,142.90,142.36
124.03,154.40,137.00,133.70
133.50,147.99,147.99,147.43
134.26,198.49,156.20,149.21
102.45,231.84,175.48,135.59
120.00,125.98,125.98,122.01
111.66,253.50,145.00,136.13
94.63,143.00,127.91,118.41
109.01,141.27,125.00,117.18
0.00,0.00,0.00,0.00
116.57,166.17,133.85,130.55
110.10,148.19,117.10,121.05
0.00,0.00,0.00,0.00
104.59,135.04,122.00,115.69
95.31,139.40,110.11,106.14
97.38,122.06,98.47,114.43
116.23,116.23,116.23,116.23
95.71,132.13,110.00,121.08
102.14,133.30,120.00,115.83
0.00,0.00,0.00,0.00
100.61,142.00,120.68,111.46
104.06,149.42,130.31,111.61
103.01,120.00,115.00,110.58
111.99,116.94,111.99,113.23
105.73,152.70,124.73,116.37
92.20,125.80,105.00,108.81
0.00,0.00,0.00,0.00
0.00,126.90,98.60,108.58
90.00,123.40,107.78,106.90
